Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,What do you think were the main strengths and weaknesses of this module?,How much of this module's learning material was relevant to you?,"To what extent do you agree with the following statement: ""I feel more equipped to lead in my context as a result of my learning through this module.""",Did you complete this module as part of an action learning group?,Are you interested in the possibility of doing another LEAD module after this one?,Has your learning from this module changed your approach to leadership?,You said that this module has changed the way that you approach leadership. In what ways has your approach to leadership changed?,"To what extent do you agree with this statement? ""I was given the support and information I needed to complete the learning activities to the best of my ability.""",,"To what extent do you agree with this statement? ""The feedback I received for my learning activity submissions was helpful""",
19076354156,414754235,06/30/2023 03:55:33 PM,06/30/2023 04:11:15 PM,,,,,,"strengths. We were a mixed group in age ,sex and experience,however we were able to support each other in a supportive way even when the questions need some thinking to answer them.  Weaknesses It appeared to me that we did not refer enough, during the session, to the reflection info. sent to us.",Most of it,Agree,,Yes,Not really,,Strongly agree,"I do have an issue with learning about LEADSHIP, not because of the content, but because I consider myself as a FACILITATOR,and to me, the two are miles apart",Aagree,"Despite my misgiving about the my Leader opinion I thought  the whole course was very thoughtful,challenging and great fun,cannot wait for the next ne."
19036041015,414754221,03/07/2023 10:20:50 AM,03/07/2023 10:23:46 AM,,,,,,strengthens:  listening to others   weaknesses: I personally find being on zoom for over an hour two long.,Most of it,Agree,No,Not sure,Not really,,Strongly agree,,,I missed two of the sessions so wouldn't have got the best out of it 
19035345251,414754221,03/05/2023 07:08:13 PM,03/05/2023 07:31:33 PM,,,,,,"Topics covered, particularly the types of people you have around you which can assist you in making decisions about teams which you are building in order to lead (VIPs, VRPs, VNPs etc).  Discussion in a safe place which often created a space where talking with the motivation to make steps forward became a place where talking was praying out loud among friends.  The session on Power particularly helped me to move on from a situation where power had been used very badly to encourage me to appreciate my current situation where power is used wisely and justly.  The evaluation session helped me to see through the eyes of others the progress I have made over the two units covered so far - I have, as a direct result of the comments made by a fellow participant who has been in the same group for both units, stepped over a threshold to a place of restoration.",All of it,Strongly disagree,No,Yes,"Yes, a great deal","It has enhanced a unit within IME2 curacy training where we are asked to develop and show the ability to build and lead teams which carry out the work which clergy cannot do themselves in addition to clerical duties and remain healthy and sane. So, projects which need to happen can be led, but we are still able to devote our time to prayer, pastoral care, leading services, preaching, running Lent courses and so forth, without running ourselves ragged.",Strongly agree,Materials are well designed and comprehensive but still work well with one being selective from the range available each week.,Strongly agree,"Less 'submissions' than contributions to the weekly meetings but yes, helpful."
19034697833,414754221,03/03/2023 03:53:49 PM,03/03/2023 04:01:14 PM,,,,,,helped me think through my relationships in a very helpful way. Struggled applying the power types but that was more relative to my new context than a weakness in the course. ,Most of it,Agree,,Yes,"Yes, somewhat","helping me build local relationships. Also increasing my awareness of boundaries, time of, time out.   ",,,,
19034572939,414754221,03/03/2023 09:44:23 AM,03/03/2023 09:47:03 AM,,,,,,All Good For Me ,Most of it,Agree,Yes,Yes,"Yes, somewhat",more reflection on leadership roles ,Agree,n/a,Aagree,n/a
13590342375,414754221,11/18/2022 10:22:01 AM,11/18/2022 10:29:25 AM,,,,,,"Not sure to be honest  - took a little while to get into the flow of what we were doing. I was surprised how little the preparation materials were actually referred to, although they were clearly an underlying part of what we were doing..  ",Most of it,Strongly agree,Yes,Yes,"Yes, somewhat",This has come at the right time for me as I am beginning to work with and form new teams in a new context. Has just helped me open my eyes a little more to what I am doing and reflect more how they can be more effective. Increasingly recognising the importance of conflict and strategies around it.,,,,
13588499359,414754221,11/15/2022 02:59:47 PM,11/15/2022 03:13:39 PM,,,,,,Strength  Variety of resources Opportunity to discuss with others   Weakness Some Resources dependent on previous training Some resources seemed a bit unrelated to the topic  I found action learning group initially difficult but was beginning to get the hang of it by the end of 4 modules. I don't know how an action learning group could be defined in a better way but I wonder if a practical video would help ,Some of it,Agree,Yes,Yes,Not really,,Agree,Defining the activities was helpful but in my case not necessarily focused on my leadership in context ,,Not sure we did this 
13586440342,414754230,11/11/2022 09:38:59 AM,11/11/2022 10:05:14 AM,,,,,,"Hearing from others who also are experiencing similar Leadership challenges, in how to bridge or bring about change that is workable for self and others in moving your ministry forward. I found the fact that asking others questions instead of suggestions kept everything focused for the group and by doing so enables the leader to evaluate their own work and then take away and reflect on it. It was good you were given information to work with at each session whether you used it or brought your own situation was both beneficial. Having others from different areas of ministry both clergy and lay,  was great, it brought with it a humility that was tangible in the group and I felt supported by all and able to speak freely without feeling intimidated even though we were on Zoom.   Overall a positive experience, and a good learning platform. ",All of it,Agree,No,Yes,"Yes, somewhat",By allowing myself  to listen more to what is going on practically. Observing  what could be the possible struggles giving space for others to speak.  How to challenge myself in how to approach leadership with others that allows effective working. ,Agree,,Strongly agree,"A very good resource, especially meeting others on Zoom from different parts of the country you would never otherwise meet, who als want to learn more of leadership. "
13586033541,414754221,11/10/2022 04:47:03 PM,11/10/2022 04:51:43 PM,,,,,,Analyse oneself but answer/ advice/ questions came from others.  ,Most of it,Agree,Yes,Not sure,Not really,,Agree,Better intro so that others understand outcomes from modules,Aagree,No
13585795777,414754221,11/10/2022 09:12:13 AM,11/10/2022 09:27:25 AM,,,,,,"Not everyone understood the idea of pursuing your own learning or approaching the subject in your own way. Some expected a talk with answers given!  For me, that was one of the strengths of the approach. With the Dig Deeper material I was able to listen to talks and lectures, which I find helpful, but reflect on aspects of the subject that were useful to me.",All of it,Agree,Yes,Yes,"Yes, somewhat",We looked at Healthy Leadership and it has made me appreciate the continual need to lead with an attitude of love. In leadership it is so easy to move away from that.,Agree,"It took some time to grasp how the course works because its approach was not familiar, e.g. no lecture or detailed questions to guide participants through the material. But once underway it did become clear!",Aagree,"Jayne was very helpful in her assessment and summary of each participant's presentation, as also in her questions and guidance of discussion where needed. Not everyone in the group was as familiar with the idea of asking questions and giving feedback, but overall the group worked very well."
13585199588,414754221,11/09/2022 11:25:25 AM,11/09/2022 11:30:20 AM,,,,,,I can see how the content related to the title and there appeared to be good depth of coverage (although i was unable to work through all of it).  I found the focus rather bias to full time workers rather than volunteers such as myself.,Some of it,Disgree,Yes,Not sure,Not really,,,,,
13585128936,414754221,11/09/2022 08:20:33 AM,11/09/2022 08:29:14 AM,,,,,,The relaxed format and the opportunity to express your thinking with no pressure on time ,All of it,Disgree,Yes,Yes,"Yes, somewhat","It helped me think about prioritising, and about the need to look after one self and have protected time ",Agree,,Strongly agree,It gave me something to take away and think about
13426243515,414754221,03/30/2022 10:26:31 AM,03/30/2022 10:32:10 AM,,,,,,The choosing of a learning goal that is tailored and beneficial to the ministry. Mine was managing and raising the performance of other team members,Most of it,Agree,Yes,Not sure,"Yes, a great deal","Set up regular 'formal' supervision with team member, keeping minutes and detailing action points and monitoring progress",Agree,,Aagree,
13381738030,414754235,03/08/2022 12:37:13 PM,03/08/2022 12:39:35 PM,,,,,,"Good to think about stakeholders, and be aware of different ways of communicating with them. Great to have some time out to do some reflecting on my leadership, and lovely to have input of others to help me do that.",Some of it,Agree,Yes,Not sure,"Yes, somewhat","More aware of how I relate to different stakeholders at different levels. In fact, a general increase in self-awareness in this area.",Agree,,Aagree,
13336420570,414754221,02/16/2022 08:48:12 PM,02/16/2022 09:30:28 PM,,,,,,"There is a lot of relevant and important subjects for consideration in this module ... healthy habits, boundaries, relationships and the use of power. The course provided good materials and resources for exploring the topics. However, I feel that some of the topics could do with more in depth and longer exploration as a group. ",All of it,Agree,Yes,Yes,"Yes, somewhat",This module focused on very important topics ... healthy habits and rhythms to sustain leadership ... Healthy boundaries - I feel that this subject needs more exploration for evangelists in professional practice ... Healthy relationships - this is another subject that could do with deeper exploration and learning ... and Healthy Power.  Alot of great topics here ... worthy of further and deeper  study and learning ... thanks Jane and team,Strongly agree,There was a lot of helpful and thought provoking information provided. I would have liked more time and conversation around all these important topics. ,Strongly agree,Jane is always affirming and encouraging ... and I really appreciate that ... thank you
